n,seconds
1043,0.0010974070
1044,0.0010831190
1045,0.0011419490
1046,0.0011799970
1047,0.0011589810
1048,0.0011725710
1049,0.0011373910
1050,0.0011416790
1051,0.0010977360
1052,0.0011338440
1053,0.0011277130
1054,0.0010952830
1055,0.0011225730
1056,0.0011350470
1057,0.0011961610
1058,0.0011891630
1059,0.0013056170
1060,0.0013057410
1061,0.0011287950
1062,0.0010798030
1063,0.0011846020
1064,0.0011485030
1065,0.0011682720
1066,0.0011520250
1067,0.0012440610
1068,0.0011214010
1069,0.0011295960
1070,0.0011010130
1071,0.0011131050
1072,0.0011478610
1073,0.0011576590
1074,0.0011522590
1075,0.0011976040
1076,0.0012700090
1077,0.0013004470
1078,0.0012373690
1079,0.0012196660
1080,0.0011865560
1081,0.0012252280
1082,0.0011629990
1083,0.0011654840
1084,0.0011954600
1085,0.0011387740
1086,0.0011915230
1087,0.0012140550
1088,0.0011419200
1089,0.0011698220
1090,0.0012613040
1091,0.0012152510
1092,0.0011881860
1093,0.0011770500
1094,0.0011687300
1095,0.0012365310
1096,0.0011491130
1097,0.0011373910
1098,0.0011655440
1099,0.0011727670
1100,0.0015210600
1101,0.0011742400
1102,0.0011701630
1103,0.0012604710
1104,0.0012043160
1105,0.0011622280
1106,0.0012363980
1107,0.0013239700
1108,0.0012089450
1109,0.0012276290
1110,0.0011948600
1111,0.0012044270
1112,0.0012281070
1113,0.0012970100
1114,0.0013368950
1115,0.0012238730
1116,0.0012808590
1117,0.0013202840
1118,0.0012640580
1119,0.0014890990
1120,0.0012682380
1121,0.0011939980
1122,0.0012735950
1123,0.0012440660
1124,0.0011937870
1125,0.0012167890
1126,0.0014200800
1127,0.0017712190
1128,0.0012044170
1129,0.0012377590
1130,0.0015396050
1131,0.0016513140
1132,0.0017284990
1133,0.0015328900
1134,0.0013009770
1135,0.0013137670
1136,0.0011943180
1137,0.0013387780
1138,0.0012237220
1139,0.0012352350
1140,0.0013148730
1141,0.0012853080
1142,0.0012267080
1143,0.0012060590
1144,0.0013951370
1145,0.0013191470
1146,0.0013464840
1147,0.0013521950
1148,0.0012813610
1149,0.0012241080
1150,0.0012425380
1151,0.0013085320
1152,0.0012569150
1153,0.0012986530
1154,0.0012388610
1155,0.0012305650
1156,0.0012904780
1157,0.0012512950
1158,0.0012624460
1159,0.0013393290
1160,0.0013317660
1161,0.0012997950
1162,0.0013263550
1163,0.0012508030
1164,0.0012559430
1165,0.0012348440
1166,0.0012884540
1167,0.0012753290
1168,0.0013530350
1169,0.0012350740
1170,0.0013151140
1171,0.0012871110
1172,0.0013137360
1173,0.0013110650
1174,0.0012879740
1175,0.0013999690
1176,0.0012812060
1177,0.0012620940
1178,0.0012397330
1179,0.0012513350
1180,0.0012802090
1181,0.0014136680
1182,0.0012246350
1183,0.0014747700
1184,0.0012990580
1185,0.0014191190
1186,0.0013508970
1187,0.0013099000
1188,0.0013585960
1189,0.0012599410
1190,0.0013104150
1191,0.0013412930
1192,0.0013023260
1193,0.0013200570
1194,0.0013211450
1195,0.0012903680
1196,0.0014325090
1197,0.0013414890
1198,0.0014372930
1199,0.0013207840
1200,0.0013619620
1201,0.0014108030
1202,0.0012820220
1203,0.0012818920
1204,0.0013998730
1205,0.0014602900
1206,0.0013576610
1207,0.0014870360
1208,0.0013046050
1209,0.0013050960
1210,0.0013930900
1211,0.0013343750
1212,0.0016229110
1213,0.0014800130
1214,0.0013755370
1215,0.0018137090
1216,0.0013142520
1217,0.0013209650
1218,0.0013192270
1219,0.0013553210
1220,0.0014733510
1221,0.0014482690
1222,0.0014200960
1223,0.0012855990
1224,0.0013639050
1225,0.0013806560
1226,0.0013844640
1227,0.0013522740
1228,0.0013052860
1229,0.0013273570
1230,0.0013227390
1231,0.0013494680
1232,0.0013414840
1233,0.0013636550
1234,0.0013575580
1235,0.0014097960
1236,0.0013552040
1237,0.0013964010
1238,0.0013420150
1239,0.0014136390
1240,0.0013809870
1241,0.0014073470
1242,0.0014930370
1243,0.0013289700
1244,0.0013412330
1245,0.0013593360
1246,0.0013411330
1247,0.0013910470
1248,0.0014759790
1249,0.0013672890
1250,0.0014044910
1251,0.0014082990
1252,0.0013726920
1253,0.0013404610
1254,0.0013714500
1255,0.0013849850
1256,0.0013489150
1257,0.0013834550
1258,0.0014185230
1259,0.0015032670
1260,0.0013845640
1261,0.0013484360
1262,0.0014549560
1263,0.0014217440
1264,0.0013262650
1265,0.0014488840
1266,0.0013819300
1267,0.0014293280
1268,0.0014268030
1269,0.0015018030
1270,0.0014764210
1271,0.0015023400
1272,0.0013960610
1273,0.0014649210
1274,0.0014668680
1275,0.0014988790
1276,0.0014099020
1277,0.0014456080
1278,0.0014307410
1279,0.0013802360
1280,0.0014108640
1281,0.0014166840
1282,0.0015237420
1283,0.0014221050
1284,0.0014279450
1285,0.0014285470
1286,0.0014016860
1287,0.0016655250
1288,0.0014700040
1289,0.0014132980
1290,0.0014815860
1291,0.0014693930
1292,0.0014704750
1293,0.0015830420
1294,0.0013996520
1295,0.0013757280
1296,0.0016041560
1297,0.0014774780
1298,0.0014247190
1299,0.0014555270
1300,0.0014342570
1301,0.0014048230
1302,0.0015417790
1303,0.0014582930
1304,0.0014833700
1305,0.0014820870
1306,0.0014547290
1307,0.0014484040
1308,0.0014259220
1309,0.0014541100
1310,0.0015148230
1311,0.0014102820
1312,0.0015242960
1313,0.0014205220
1314,0.0014703050
1315,0.0014333260
1316,0.0014099210
1317,0.0015268970
1318,0.0015000480
1319,0.0014095380
1320,0.0016287010
1321,0.0014857940
1322,0.0014716280
1323,0.0014156830
1324,0.0014280850
1325,0.0014827280
1326,0.0014494350
1327,0.0014166350
1328,0.0014798130
1329,0.0017444960
1330,0.0014934590
1331,0.0014162840
1332,0.0015779470
1333,0.0015150580
1334,0.0014462600
1335,0.0015392740
1336,0.0017812470
1337,0.0014712970
1338,0.0015747310
1339,0.0014831690
1340,0.0014522200
1341,0.0015955140
1342,0.0015220310
1343,0.0014534930
1344,0.0015140670
1345,0.0015366050
1346,0.0017252730
1347,0.0015721460
1348,0.0015566270
1349,0.0014273340
1350,0.0016122510
1351,0.0015317100
1352,0.0016333800
1353,0.0016071650
1354,0.0015096280
1355,0.0014768070
1356,0.0014722190
1357,0.0015207380
1358,0.0015119730
1359,0.0015417790
1360,0.0014494960
1361,0.0015128850
1362,0.0015040980
1363,0.0014698840
1364,0.0015468480
1365,0.0014899310
1366,0.0015210200
1367,0.0015872140
1368,0.0015172590
1369,0.0015138360
1370,0.0016196450
1371,0.0015400950
1372,0.0015514770
1373,0.0015868630
1374,0.0015883350
1375,0.0022192220
1376,0.0018753440
1377,0.0016739450
1378,0.0015816330
1379,0.0016046580
1380,0.0017983250
1381,0.0017442790
1382,0.0015746400
1383,0.0015353360
1384,0.0016605050
1385,0.0016011490
1386,0.0017423400
1387,0.0017775050
1388,0.0016121200
1389,0.0015290150
1390,0.0015217210
1391,0.0015627680
1392,0.0016164090
1393,0.0015951390
1394,0.0017200230
1395,0.0016673140
1396,0.0015813730
1397,0.0015720440
1398,0.0016014750
1399,0.0015955750
1400,0.0015836680
1401,0.0015191460
1402,0.0015291660
1403,0.0015703120
1404,0.0016126310
1405,0.0015490030
1406,0.0016144950
1407,0.0015261200
1408,0.0015086560
1409,0.0015630780
1410,0.0016550220
1411,0.0015988860
1412,0.0016754890
1413,0.0015173130
1414,0.0015529190
1415,0.0015595520
1416,0.0015203780
1417,0.0016532440
1418,0.0015813160
